timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564640348195,243,Authenticate,200,,Thread Group - Milo Queue Access  1-3,,true,,36072,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,58,0,0
1564640348195,58,Authenticate-0,302,,Thread Group - Milo Queue Access  1-3,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,58,0,0
1564640348253,185,Authenticate-1,200,,Thread Group - Milo Queue Access  1-3,,true,,35612,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,146,0,0
1564640348386,82,View Queue Results,200,,Thread Group - Milo Queue Access  1-2,text,true,,56622,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,79,0,0
1564640348386,82,PendingReceivedViaEdiAction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,56622,1293,3,3,null,79,1,0
1564640348404,83,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-1,text,true,,46444,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,80,0,0
1564640348312,175,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,95410,1533,3,3,null,131,1,0
1564640348469,92,Click Logout,200,,Thread Group - Milo Queue Access  1-2,,true,,13160,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,42,0,0
1564640348469,42,Click Logout-0,302,,Thread Group - Milo Queue Access  1-2,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,42,0,0
1564640348511,50,Click Logout-1,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,49,0,0
